Site,Link,Name,Author,Publisher,Year,Language
book-ye.com.ua,https://book-ye.com.ua/catalog/psykholohiya/use-zamakhalo-ale-nadiya-ye/,Усе замахало. Але надія є,Марк Менсон,Наш Формат,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/rizdvozavr-ta-zymova-vidma/,Різдвозавр та Зимова Відьма,Том Флетчер,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/biznes-psykholohiya/vytonchene-mystetstvo-zabyvaty-na-vse-nestandartnyj-pidkhid-do-problem/,Витончене мистецтво забивати на все. Нестандартний підхід до проблем,Марк Менсон,Наш Формат,2018,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-zarubizhna-proza/misto-divchat/,Місто дівчат,Елізабет Ґілберт,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/sotsiolohiya/lyudyna-rozumna-istoriya-lyudstva-vid-mynuloho-do-majbutnoho/,Людина розумна. Історія людства від минулого до майбутнього,Ювал Ной Харарі,Клуб Сімейного Дозвілля,2016,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/kazky-pid-yalynku/,Казки під ялинку,"Галина Вдовиченко, Богдана Матіяш, Іван Андрусяк, Галина Малик, Ірина Лазуткіна",Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-zarubizhna-proza/vidverto-pro-klavdiyu/,Відверто про Клавдію,Деніел Кіз,Клуб Сімейного Дозвілля,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/dytyacha-proza/rizdvo-prykhodyt-u-krayinu-mumi-troliv/,Різдво приходить у Країну Мумі-тролів,"Туве Янссон, Алекс Гаріді, Сесілія Давідссон",Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/odnoho-razu-na-rizdvo/,Одного разу на Різдво,Надійка Гербіш,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/rozvyvalni-knyzhky/rizdvyani-holovolomky/,Різдвяні головоломки,Саймон Тадхоуп,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/dytyacha-proza/kotokhatka/,Котохатка,Галина Вдовиченко,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/psykholohiya/7-zvychok-nadzvychajno-efektyvnykh-lyudej/,7 звичок надзвичайно ефективних людей,Стівен Кові,Клуб Сімейного Дозвілля,2012,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/ihry-ta-ihrashky/velyka-knyha-rizdvyanykh-ihor/,Велика книга різдвяних ігор,Клаудія Бордін,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-ukrayinska-proza/kharakternyk/,Характерник,Василь Шкляр,Клуб Сімейного Дозвілля,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/zhurnalistyka-reportazhi/slidy-na-dorozi/,Сліди на дорозі,Валерій Ананьєв,Наш Формат,2018,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/zarubizhna-klasyka/kvity-dlya-eldzhernona/,Квіти для Елджернона,Деніел Кіз,Клуб Сімейного Дозвілля,2015,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-ukrayinska-proza/dotsya/,Доця,Тамара Горіха Зерня,Білка,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-zarubizhna-proza/boh-zavzhdy-podorozhuye-inkohnito/,Бог завжди подорожує інкогніто,Лоран Гунель,Клуб Сімейного Дозвілля,2016,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/psykholohiya/12-pravyl-zhyttya-yak-peremohty-khaos/,12 правил життя. Як перемогти хаос,Джордан Пітерсон,Наш Формат,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/rizdvozavr/,Різдвозавр,Том Флетчер,Видавництво Старого Лева,2018,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/psykholohiya/ihry-u-yaki-hrayut-lyudy/,"Ігри, у які грають люди",Ерік Берн,Клуб Сімейного Дозвілля,2016,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-ukrayinska-proza/19-rizdvyanykh-istorij/,19 різдвяних історій,"Катерина Бабкіна, Дорж Бату, Володимир Бєглов, Костянтин Москалець, Ірина Савка, Галина Вдовиченко, Христя Венгринюк, Богдан Волошин, Надійка Гербіш, Сергій Гридін, Богдан Жолдак, Мирослав Лаюк, Богдана Матіяш, Маркіян Прохасько, Любомир Серняк",Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/biznes-psykholohiya/chudovyj-ranok-yak-ne-prospaty-zhyttya/,Чудовий ранок. Як не проспати життя,Гел Елрод,Наш Формат,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/psykholohiya/malenka-knyha-khyuge-yak-zhyty-dobre-po-dansky/,Маленька книга хюґе. Як жити добре по-данськи,Мік Вікінг,Клуб Сімейного Дозвілля,2017,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/zarubizhna-klasyka/1984/,1984,Джордж Орвелл,Видавництво Жупанського,2015,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-ukrayinska-proza/feliks-avstriya/,Фелікс Австрія,Софія Андрухович,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/dytyacha-proza/36-i-6-kotiv/,36 і 6 котів,Галина Вдовиченко,Видавництво Старого Лева,2015,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/fentezi/vidmak-mech-pryznachennya/,Відьмак. Меч призначення,Анджей Сапковський,Клуб Сімейного Дозвілля,2016,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-zarubizhna-proza/atlant-rozpravyv-plechi-chastyna-1-nesuperechnist/,Атлант розправив плечі. Частина 1. Несуперечність,Айн Ренд,Наш Формат,2015,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/fentezi/vidmak-ostannye-bazhannya/,Відьмак. Останнє бажання,Анджей Сапковський,Клуб Сімейного Дозвілля,2016,Ukrainian
